index,pi0,kra5,kra50
155,5.425000000000001,5.425000000000001,5.425000000000001
156,5.460000000000001,5.460000000000001,5.460000000000001
157,5.495,5.495,5.495
158,5.53,5.53,5.53
159,5.565,5.565,5.565
160,5.6000000000000005,5.6000000000000005,5.6000000000000005
161,5.635000000000001,5.635000000000001,5.635000000000001
162,5.670000000000001,5.670000000000001,5.670000000000001
163,5.705000000000001,5.705000000000001,5.705000000000001
164,5.74,5.74,5.74
165,5.775,5.775,5.775
166,5.8100000000000005,5.8100000000000005,5.8100000000000005
167,5.845000000000001,5.845000000000001,5.845000000000001
168,5.880000000000001,5.880000000000001,5.880000000000001
169,5.915000000000001,5.915000000000001,5.915000000000001
170,5.95,5.95,5.95
171,5.985,5.985,5.985
172,6.0200000000000005,6.0200000000000005,6.0200000000000005
173,6.055000000000001,6.055000000000001,6.055000000000001
174,6.090000000000001,6.090000000000001,6.090000000000001
175,6.125000000000001,6.125000000000001,6.125000000000001
176,6.16,6.16,6.16
177,6.195,6.195,6.195
178,6.23,6.23,6.23
179,6.265000000000001,6.265000000000001,6.265000000000001
180,6.300000000000001,6.300000000000001,6.300000000000001
181,6.335000000000001,6.335000000000001,6.335000000000001
182,6.370000000000001,6.370000000000001,6.370000000000001
183,6.405,6.405,6.405
184,6.44,6.44,6.44
185,6.4750000000000005,6.4750000000000005,6.4750000000000005
186,6.510000000000001,6.510000000000001,6.510000000000001
187,6.545000000000001,6.545000000000001,6.545000000000001
188,6.580000000000001,6.580000000000001,6.580000000000001
189,6.615,6.615,6.615
190,6.65,6.65,6.65
191,6.6850000000000005,6.6850000000000005,6.6850000000000005
192,6.720000000000001,6.720000000000001,6.720000000000001
193,6.755000000000001,6.755000000000001,6.755000000000001
194,6.790000000000001,6.790000000000001,6.790000000000001
195,6.825000000000001,6.825000000000001,6.825000000000001
196,6.86,6.86,6.86
197,6.8950000000000005,6.8950000000000005,6.8950000000000005
198,6.930000000000001,6.930000000000001,6.930000000000001
199,6.965000000000001,6.965000000000001,6.965000000000001
200,7.000000000000001,7.000000000000001,7.000000000000001
201,7.035000000000001,7.035000000000001,7.035000000000001
202,7.07,7.07,7.07
203,7.105,7.105,7.105
204,7.140000000000001,7.140000000000001,7.140000000000001
205,7.175000000000001,7.175000000000001,7.175000000000001
206,7.210000000000001,7.210000000000001,7.210000000000001
207,7.245000000000001,7.245000000000001,7.245000000000001
208,7.280000000000001,7.280000000000001,7.280000000000001
209,7.315,7.315,7.315
210,7.3500000000000005,7.3500000000000005,7.3500000000000005
211,7.385000000000001,7.385000000000001,7.385000000000001
212,7.420000000000001,7.420000000000001,7.420000000000001
213,7.455000000000001,7.455000000000001,7.455000000000001
214,7.490000000000001,7.490000000000001,7.490000000000001
215,7.525,7.525,7.525
216,7.5600000000000005,7.5600000000000005,7.5600000000000005
217,7.595000000000001,7.595000000000001,7.595000000000001
218,7.630000000000001,7.630000000000001,7.630000000000001
219,7.665000000000001,7.665000000000001,7.665000000000001
220,7.700000000000001,7.700000000000001,7.700000000000001
221,7.735,7.735,7.735
222,7.7700000000000005,7.7700000000000005,7.7700000000000005
223,7.805000000000001,7.805000000000001,7.805000000000001
224,7.840000000000001,7.840000000000001,7.840000000000001
225,7.875000000000001,7.875000000000001,7.875000000000001
226,7.910000000000001,7.910000000000001,7.910000000000001
227,7.945000000000001,7.945000000000001,7.945000000000001
228,7.98,7.98,7.98
229,8.015,8.015,8.015
230,8.05,8.05,8.05
231,8.085,8.085,8.085
232,8.120000000000001,8.120000000000001,8.120000000000001
233,8.155000000000001,8.155000000000001,8.155000000000001
234,8.190000000000001,8.190000000000001,8.190000000000001
235,8.225000000000001,8.225000000000001,8.225000000000001
236,8.260000000000002,8.260000000000002,8.260000000000002
237,8.295,8.295,8.295
238,8.33,8.33,8.33
239,8.365,8.365,8.365
240,8.4,8.4,8.4
241,8.435,8.435,8.435
242,8.47,8.47,8.47
243,8.505,8.505,8.505
244,8.540000000000001,8.540000000000001,8.540000000000001
245,8.575000000000001,8.575000000000001,8.575000000000001
246,8.610000000000001,8.610000000000001,8.610000000000001
247,8.645000000000001,8.645000000000001,8.645000000000001
248,8.680000000000001,8.680000000000001,8.680000000000001
249,8.715000000000002,8.715000000000002,8.715000000000002
250,8.75,8.75,8.75
251,8.785,8.785,8.785
252,8.82,8.82,8.82
253,8.855,8.855,8.855
254,8.89,8.89,8.89
255,8.925,8.925,8.925
256,8.96,8.96,8.96
257,8.995000000000001,8.995000000000001,8.995000000000001
258,9.030000000000001,9.030000000000001,9.030000000000001
259,9.065000000000001,9.065000000000001,9.065000000000001
260,9.100000000000001,9.100000000000001,9.100000000000001
261,9.135000000000002,9.135000000000002,9.135000000000002
262,9.170000000000002,9.170000000000002,9.170000000000002
263,9.205,9.205,9.205
264,9.24,9.24,9.24
265,9.275,9.275,9.275
266,9.31,9.31,9.31
267,9.345,9.345,9.345
268,9.38,9.38,9.38
269,9.415000000000001,9.415000000000001,9.415000000000001
270,9.450000000000001,9.450000000000001,9.450000000000001
271,9.485000000000001,9.485000000000001,9.485000000000001
272,9.520000000000001,9.520000000000001,9.520000000000001
273,9.555000000000001,9.555000000000001,9.555000000000001
274,9.590000000000002,9.590000000000002,9.590000000000002
275,9.625000000000002,9.625000000000002,9.625000000000002
276,9.66,9.66,9.66
277,9.695,9.695,9.695
278,9.73,9.73,9.73
279,9.765,9.765,9.765
280,9.8,9.8,9.8
281,9.835,9.835,9.835
282,9.870000000000001,9.870000000000001,9.870000000000001
283,9.905000000000001,9.905000000000001,9.905000000000001
284,9.940000000000001,9.940000000000001,9.940000000000001
285,9.975000000000001,9.975000000000001,9.975000000000001
286,10.010000000000002,10.010000000000002,10.010000000000002
287,10.045000000000002,10.045000000000002,10.045000000000002
288,10.080000000000002,10.080000000000002,10.080000000000002
289,10.115,10.115,10.115
290,10.15,10.15,10.15
291,10.185,10.185,10.185
292,10.22,10.22,10.22
293,10.255,10.255,10.255
294,10.290000000000001,10.290000000000001,10.290000000000001
295,10.325000000000001,10.325000000000001,10.325000000000001
296,10.360000000000001,10.360000000000001,10.360000000000001
297,10.395000000000001,10.395000000000001,10.395000000000001
298,10.430000000000001,10.430000000000001,10.430000000000001
299,10.465000000000002,10.465000000000002,10.465000000000002
300,10.500000000000002,10.500000000000002,10.500000000000002
301,10.535,10.535,10.535
302,10.57,10.57,10.57
303,10.605,10.605,10.605
304,10.64,10.64,10.64
305,10.675,10.675,10.675
306,10.71,10.71,10.71
307,10.745000000000001,10.745000000000001,10.745000000000001
308,10.780000000000001,10.780000000000001,10.780000000000001
309,10.815000000000001,10.815000000000001,10.815000000000001
310,10.850000000000001,10.850000000000001,10.850000000000001
311,10.885000000000002,10.885000000000002,10.885000000000002
312,10.920000000000002,10.920000000000002,10.920000000000002
313,10.955000000000002,10.955000000000002,10.955000000000002
314,10.99,10.99,10.99
315,11.025,11.025,11.025
316,11.06,11.06,11.06
317,11.095,11.095,11.095
318,11.13,11.13,11.13
319,11.165000000000001,11.165000000000001,11.165000000000001
320,11.200000000000001,11.200000000000001,11.200000000000001
321,11.235000000000001,11.235000000000001,11.235000000000001
322,11.270000000000001,11.270000000000001,11.270000000000001
323,11.305000000000001,11.305000000000001,11.305000000000001
324,11.340000000000002,11.340000000000002,11.340000000000002
325,11.375000000000002,11.375000000000002,11.375000000000002
326,11.410000000000002,11.410000000000002,11.410000000000002
327,11.445,11.445,11.445
328,11.48,11.48,11.48
329,11.515,11.515,11.515
330,11.55,11.55,11.55
331,11.585,11.585,11.585
332,11.620000000000001,11.620000000000001,11.620000000000001
333,11.655000000000001,11.655000000000001,11.655000000000001
334,11.690000000000001,11.690000000000001,11.690000000000001
335,11.725000000000001,11.725000000000001,11.725000000000001
336,11.760000000000002,11.760000000000002,11.760000000000002
337,11.795000000000002,11.795000000000002,11.795000000000002
338,11.830000000000002,11.830000000000002,11.830000000000002
