index,pi0,kra5,kra50
349,2289.0,1259.0,1258.0
350,2326.0,1300.0,1274.0
351,2298.0,1249.0,1254.0
352,2232.0,1229.0,1144.0
353,2233.0,1170.0,1168.0
354,2123.0,1218.0,1140.0
355,2104.0,1184.0,1139.0
356,2066.0,1102.0,1106.0
357,1982.0,1055.0,1048.0
358,2011.0,1056.0,1079.0
359,1965.0,1119.0,1057.0
360,2000.0,1059.0,1054.0
361,1940.0,991.0,1038.0
362,1871.0,1053.0,912.0
363,1869.0,966.0,967.0
364,1759.0,1005.0,909.0
365,1732.0,870.0,873.0
366,1649.0,866.0,945.0
367,1738.0,938.0,861.0
368,1692.0,893.0,828.0
369,1667.0,936.0,862.0
370,1617.0,873.0,906.0
371,1543.0,812.0,855.0
372,1539.0,864.0,801.0
373,1538.0,814.0,775.0
374,1471.0,812.0,813.0
375,1425.0,780.0,780.0
376,1408.0,816.0,775.0
377,1335.0,785.0,724.0
378,1433.0,734.0,799.0
379,1311.0,704.0,681.0
380,1310.0,657.0,732.0
381,1315.0,683.0,681.0
382,1330.0,683.0,654.0
383,1236.0,664.0,698.0
384,1221.0,674.0,672.0
385,1251.0,640.0,644.0
386,1134.0,587.0,670.0
387,1122.0,604.0,646.0
388,1114.0,646.0,600.0
389,1183.0,552.0,554.0
390,1136.0,626.0,554.0
391,1052.0,578.0,540.0
392,1070.0,549.0,524.0
393,1040.0,536.0,575.0
394,1066.0,490.0,528.0
395,1017.0,551.0,462.0
396,1060.0,469.0,496.0
397,919.0,514.0,487.0
398,982.0,513.0,531.0
399,901.0,436.0,483.0
400,894.0,460.0,484.0
401,888.0,495.0,455.0
402,907.0,453.0,445.0
403,875.0,479.0,453.0
404,796.0,419.0,450.0
405,789.0,435.0,429.0
406,793.0,453.0,379.0
407,840.0,404.0,379.0
408,793.0,389.0,374.0
409,770.0,392.0,396.0
410,722.0,399.0,402.0
411,760.0,362.0,403.0
412,771.0,373.0,353.0
413,726.0,368.0,390.0
414,683.0,379.0,365.0
415,707.0,365.0,331.0
416,690.0,371.0,402.0
417,621.0,329.0,339.0
418,643.0,312.0,363.0
419,643.0,330.0,310.0
420,649.0,311.0,364.0
421,636.0,331.0,300.0
422,543.0,364.0,328.0
423,573.0,274.0,338.0
424,585.0,272.0,279.0
425,583.0,353.0,276.0
426,566.0,304.0,298.0
427,536.0,284.0,312.0
428,498.0,290.0,269.0
429,554.0,285.0,237.0
430,513.0,293.0,229.0
431,524.0,277.0,245.0
432,472.0,267.0,285.0
433,500.0,237.0,268.0
434,486.0,240.0,259.0
435,453.0,265.0,247.0
436,490.0,233.0,230.0
437,416.0,267.0,220.0
438,441.0,219.0,237.0
439,435.0,269.0,244.0
440,434.0,214.0,239.0
441,408.0,206.0,212.0
442,440.0,202.0,227.0
443,405.0,219.0,235.0
444,386.0,218.0,221.0
445,373.0,204.0,220.0
446,388.0,235.0,215.0
447,403.0,177.0,193.0
448,394.0,184.0,189.0
449,325.0,190.0,203.0
450,323.0,208.0,160.0
451,401.0,171.0,191.0
452,364.0,178.0,168.0
453,318.0,205.0,161.0
454,380.0,184.0,157.0
455,315.0,124.0,172.0
456,331.0,157.0,166.0
457,288.0,159.0,168.0
458,311.0,146.0,157.0
459,287.0,183.0,144.0
460,289.0,144.0,135.0
461,292.0,145.0,162.0
462,274.0,146.0,149.0
463,277.0,131.0,141.0
464,289.0,130.0,124.0
465,256.0,125.0,149.0
466,270.0,133.0,161.0
467,276.0,145.0,130.0
468,255.0,137.0,153.0
469,252.0,132.0,132.0
470,243.0,121.0,122.0
471,214.0,137.0,136.0
472,245.0,125.0,99.0
473,232.0,124.0,113.0
474,244.0,117.0,111.0
475,226.0,103.0,111.0
476,222.0,145.0,120.0
477,201.0,129.0,96.0
478,241.0,125.0,131.0
479,216.0,118.0,111.0
480,179.0,98.0,83.0
481,220.0,102.0,103.0
482,183.0,121.0,111.0
483,217.0,80.0,99.0
484,185.0,102.0,91.0
485,185.0,84.0,104.0
486,173.0,92.0,109.0
487,173.0,110.0,89.0
488,174.0,103.0,90.0
489,153.0,92.0,84.0
490,172.0,81.0,94.0
491,187.0,82.0,105.0
492,144.0,86.0,90.0
493,171.0,73.0,79.0
494,158.0,97.0,94.0
495,143.0,76.0,79.0
496,140.0,87.0,70.0
497,156.0,79.0,87.0
498,156.0,90.0,81.0
499,120.0,62.0,73.0
500,131.0,66.0,66.0
501,139.0,65.0,71.0
502,144.0,69.0,71.0
503,102.0,61.0,74.0
504,104.0,87.0,71.0
505,99.0,77.0,64.0
506,133.0,70.0,54.0
507,122.0,86.0,67.0
508,122.0,69.0,66.0
509,115.0,78.0,66.0
510,96.0,56.0,62.0
511,111.0,60.0,67.0
512,107.0,55.0,77.0
513,117.0,53.0,72.0
514,98.0,63.0,51.0
515,92.0,73.0,66.0
516,121.0,61.0,61.0
517,107.0,65.0,51.0
518,101.0,70.0,40.0
519,127.0,47.0,59.0
520,93.0,55.0,52.0
521,83.0,51.0,44.0
522,108.0,44.0,50.0
523,103.0,44.0,52.0
524,99.0,43.0,56.0
525,80.0,44.0,52.0
526,72.0,38.0,44.0
527,79.0,35.0,52.0
528,99.0,34.0,36.0
529,80.0,37.0,44.0
530,83.0,54.0,46.0
531,84.0,40.0,34.0
532,72.0,32.0,32.0
533,77.0,41.0,41.0
534,86.0,39.0,31.0
535,54.0,42.0,26.0
536,79.0,31.0,36.0
537,71.0,37.0,42.0
538,82.0,43.0,35.0
539,70.0,36.0,37.0
540,57.0,39.0,34.0
541,67.0,25.0,28.0
542,68.0,35.0,29.0
543,67.0,21.0,27.0
544,69.0,30.0,32.0
545,71.0,40.0,41.0
546,56.0,31.0,33.0
547,53.0,37.0,36.0
548,51.0,16.0,37.0
549,61.0,32.0,26.0
550,56.0,19.0,40.0
551,53.0,38.0,36.0
552,40.0,24.0,31.0
553,33.0,29.0,28.0
554,52.0,21.0,34.0
555,53.0,30.0,25.0
556,68.0,27.0,26.0
557,47.0,28.0,29.0
558,36.0,28.0,31.0
559,46.0,21.0,19.0
560,54.0,25.0,23.0
561,39.0,29.0,26.0
562,43.0,24.0,34.0
563,39.0,29.0,25.0
564,53.0,22.0,21.0
565,44.0,27.0,19.0
566,42.0,18.0,24.0
567,47.0,26.0,18.0
568,41.0,23.0,26.0
569,39.0,33.0,19.0
570,33.0,22.0,13.0
571,37.0,25.0,17.0
572,28.0,19.0,19.0
573,33.0,14.0,25.0
574,41.0,17.0,24.0
575,34.0,23.0,19.0
576,37.0,20.0,30.0
577,31.0,28.0,20.0
578,32.0,19.0,17.0
579,26.0,15.0,22.0
580,40.0,19.0,12.0
581,29.0,20.0,18.0
582,31.0,16.0,18.0
583,31.0,24.0,16.0
584,45.0,10.0,23.0
585,32.0,17.0,16.0
586,19.0,14.0,15.0
587,15.0,11.0,13.0
588,23.0,14.0,14.0
589,21.0,17.0,13.0
590,32.0,12.0,14.0
591,23.0,8.0,15.0
592,23.0,18.0,16.0
593,34.0,22.0,14.0
594,19.0,13.0,4.0
595,26.0,13.0,14.0
596,30.0,11.0,11.0
597,18.0,14.0,6.0
598,29.0,12.0,12.0
599,14.0,17.0,15.0
600,19.0,13.0,7.0
601,23.0,12.0,15.0
602,16.0,6.0,8.0
603,19.0,6.0,10.0
604,19.0,12.0,8.0
605,18.0,15.0,7.0
606,20.0,12.0,9.0
607,18.0,5.0,7.0
608,20.0,10.0,12.0
609,18.0,8.0,16.0
610,23.0,8.0,13.0
611,19.0,8.0,11.0
612,14.0,6.0,13.0
613,23.0,7.0,10.0
614,20.0,9.0,10.0
615,23.0,12.0,4.0
616,17.0,11.0,5.0
617,17.0,11.0,7.0
618,20.0,9.0,9.0
619,5.0,6.0,15.0
620,9.0,8.0,6.0
621,11.0,7.0,3.0
622,14.0,4.0,7.0
623,13.0,8.0,6.0
624,16.0,8.0,10.0
625,13.0,8.0,8.0
626,22.0,6.0,10.0
627,15.0,4.0,7.0
628,14.0,7.0,6.0
629,15.0,14.0,8.0
630,12.0,9.0,7.0
631,12.0,8.0,11.0
632,10.0,9.0,6.0
633,12.0,7.0,10.0
634,11.0,8.0,3.0
635,10.0,5.0,3.0
636,12.0,6.0,4.0
637,6.0,7.0,5.0
638,13.0,11.0,6.0
639,7.0,2.0,3.0
640,7.0,2.0,4.0
641,18.0,6.0,2.0
642,13.0,6.0,5.0
643,6.0,7.0,7.0
644,9.0,10.0,8.0
645,7.0,6.0,0.0
646,13.0,9.0,3.0
647,13.0,7.0,3.0
648,12.0,6.0,5.0
649,9.0,7.0,7.0
650,9.0,4.0,4.0
651,11.0,3.0,9.0
652,13.0,3.0,4.0
653,4.0,7.0,6.0
654,9.0,5.0,6.0
655,6.0,0.0,3.0
656,14.0,4.0,5.0
657,6.0,3.0,3.0
658,6.0,4.0,1.0
659,10.0,3.0,5.0
660,11.0,8.0,8.0
661,5.0,4.0,3.0
662,6.0,4.0,4.0
663,9.0,4.0,5.0
664,11.0,5.0,4.0
665,5.0,6.0,2.0
666,5.0,4.0,4.0
667,4.0,3.0,3.0
668,6.0,4.0,5.0
669,7.0,2.0,6.0
670,9.0,1.0,1.0
671,2.0,5.0,3.0
672,10.0,1.0,4.0
673,6.0,5.0,3.0
674,8.0,3.0,3.0
675,2.0,4.0,2.0
676,5.0,5.0,3.0
677,2.0,2.0,2.0
678,9.0,3.0,6.0
679,5.0,4.0,1.0
680,6.0,3.0,3.0
681,10.0,3.0,3.0
682,6.0,3.0,3.0
683,4.0,0.0,1.0
684,2.0,1.0,0.0
685,5.0,3.0,5.0
686,8.0,1.0,1.0
687,9.0,1.0,4.0
688,4.0,2.0,1.0
689,1.0,1.0,2.0
690,7.0,0.0,2.0
691,6.0,0.0,6.0
692,3.0,3.0,2.0
693,4.0,1.0,3.0
694,7.0,2.0,3.0
695,3.0,2.0,3.0
696,4.0,1.0,2.0
697,6.0,0.0,0.0
698,2.0,2.0,3.0
699,2.0,4.0,1.0
700,3.0,2.0,3.0
701,5.0,1.0,1.0
702,4.0,4.0,0.0
703,3.0,1.0,4.0
704,2.0,0.0,1.0
705,0.0,2.0,1.0
706,4.0,0.0,0.0
707,1.0,1.0,1.0
708,1.0,4.0,6.0
709,2.0,0.0,1.0
710,0.0,2.0,1.0
711,4.0,0.0,3.0
712,4.0,0.0,1.0
713,1.0,2.0,1.0
714,6.0,2.0,2.0
715,3.0,2.0,0.0
716,1.0,0.0,2.0
717,0.0,1.0,0.0
718,2.0,3.0,3.0
719,2.0,2.0,1.0
720,1.0,1.0,3.0
721,1.0,3.0,1.0
722,4.0,3.0,2.0
723,4.0,2.0,2.0
724,3.0,0.0,3.0
725,3.0,3.0,0.0
726,5.0,1.0,1.0
727,0.0,0.0,1.0
728,2.0,2.0,2.0
729,1.0,1.0,1.0
730,4.0,2.0,1.0
731,1.0,0.0,1.0
732,1.0,1.0,0.0
733,2.0,1.0,1.0
734,4.0,0.0,1.0
735,0.0,0.0,3.0
736,1.0,0.0,1.0
737,4.0,0.0,4.0
738,1.0,0.0,0.0
739,2.0,1.0,1.0
740,4.0,3.0,0.0
741,2.0,1.0,0.0
742,2.0,2.0,1.0
743,2.0,0.0,1.0
744,2.0,1.0,1.0
745,2.0,3.0,1.0
746,0.0,1.0,1.0
747,1.0,2.0,0.0
748,0.0,1.0,1.0
749,0.0,3.0,1.0
750,0.0,0.0,0.0
751,0.0,2.0,0.0
752,5.0,1.0,1.0
753,0.0,1.0,1.0
754,3.0,1.0,0.0
755,2.0,2.0,1.0
756,2.0,0.0,0.0
757,1.0,0.0,0.0
758,1.0,1.0,1.0
759,2.0,2.0,1.0
760,3.0,1.0,1.0
761,1.0,2.0,1.0
762,0.0,0.0,1.0
763,5.0,0.0,0.0
764,0.0,0.0,0.0
765,3.0,1.0,1.0
766,2.0,0.0,1.0
767,0.0,1.0,0.0
768,2.0,2.0,0.0
769,5.0,2.0,0.0
770,2.0,0.0,0.0
771,2.0,1.0,0.0
772,1.0,2.0,1.0
773,0.0,1.0,0.0
774,2.0,0.0,0.0
775,2.0,0.0,1.0
776,0.0,0.0,1.0
777,1.0,0.0,1.0
778,3.0,0.0,0.0
779,0.0,0.0,0.0
780,1.0,0.0,0.0
781,1.0,0.0,0.0
782,1.0,0.0,0.0
783,1.0,0.0,1.0
784,1.0,0.0,1.0
785,1.0,0.0,0.0
786,1.0,0.0,0.0
787,0.0,0.0,0.0
788,1.0,0.0,1.0
789,0.0,2.0,1.0
790,0.0,0.0,0.0
791,0.0,1.0,0.0
792,0.0,1.0,0.0
793,1.0,1.0,0.0
794,1.0,0.0,0.0
795,0.0,0.0,0.0
796,0.0,1.0,0.0
797,0.0,1.0,0.0
798,1.0,0.0,0.0
799,2.0,0.0,0.0
800,1.0,0.0,0.0
801,0.0,0.0,0.0
802,0.0,0.0,0.0
803,0.0,1.0,0.0
804,2.0,2.0,1.0
805,0.0,0.0,0.0
806,0.0,0.0,0.0
807,0.0,0.0,1.0
808,0.0,0.0,0.0
809,1.0,1.0,0.0
810,5.0,0.0,0.0
811,0.0,2.0,0.0
812,1.0,0.0,0.0
813,0.0,1.0,1.0
814,2.0,0.0,0.0
815,0.0,0.0,0.0
816,2.0,0.0,1.0
817,0.0,0.0,1.0
818,0.0,0.0,0.0
819,2.0,0.0,2.0
820,0.0,0.0,0.0
821,1.0,0.0,0.0
822,1.0,0.0,1.0
823,0.0,0.0,0.0
824,0.0,0.0,0.0
825,0.0,0.0,0.0
826,0.0,0.0,1.0
827,0.0,0.0,0.0
828,0.0,0.0,0.0
829,0.0,0.0,1.0
830,1.0,0.0,0.0
831,0.0,0.0,2.0
832,0.0,0.0,0.0
833,1.0,0.0,1.0
834,0.0,0.0,0.0
835,0.0,0.0,0.0
836,1.0,0.0,1.0
837,0.0,0.0,0.0
838,1.0,0.0,0.0
839,0.0,0.0,0.0
840,0.0,0.0,0.0
841,0.0,0.0,0.0
842,0.0,0.0,0.0
843,1.0,0.0,0.0
844,0.0,0.0,0.0
845,0.0,0.0,0.0
846,0.0,0.0,0.0
847,2.0,0.0,0.0
848,0.0,0.0,0.0
849,0.0,0.0,0.0
850,0.0,0.0,0.0
851,1.0,0.0,0.0
852,0.0,0.0,0.0
853,1.0,1.0,1.0
854,0.0,0.0,0.0
855,1.0,0.0,0.0
856,0.0,0.0,0.0
857,0.0,0.0,0.0
858,0.0,0.0,0.0
859,0.0,0.0,0.0
860,0.0,0.0,0.0
861,0.0,0.0,0.0
862,0.0,0.0,0.0
863,0.0,0.0,0.0
864,0.0,0.0,1.0
865,0.0,1.0,0.0
866,0.0,0.0,1.0
867,1.0,0.0,0.0
868,2.0,0.0,0.0
869,0.0,0.0,0.0
870,0.0,0.0,0.0
871,1.0,1.0,0.0
872,0.0,0.0,0.0
873,1.0,0.0,0.0
874,0.0,1.0,0.0
875,0.0,0.0,0.0
876,0.0,0.0,0.0
877,1.0,0.0,1.0
878,1.0,0.0,1.0
879,0.0,0.0,0.0
880,0.0,0.0,0.0
881,0.0,0.0,0.0
882,1.0,0.0,0.0
883,0.0,0.0,0.0
884,0.0,0.0,0.0
885,0.0,0.0,0.0
886,0.0,0.0,0.0
887,0.0,0.0,0.0
888,0.0,0.0,0.0
889,0.0,0.0,0.0
890,0.0,0.0,0.0
891,0.0,0.0,0.0
892,0.0,0.0,1.0
893,0.0,0.0,0.0
894,0.0,0.0,0.0
895,0.0,1.0,0.0
896,0.0,0.0,0.0
897,0.0,0.0,0.0
898,0.0,0.0,0.0
899,0.0,1.0,0.0
900,0.0,0.0,0.0
901,1.0,0.0,0.0
902,0.0,0.0,0.0
903,0.0,0.0,0.0
904,0.0,0.0,0.0
905,0.0,0.0,0.0
906,0.0,0.0,0.0
