n_inj,median_ns
234,262.15751136837
235,268.1356879221963
236,276.05110235086676
237,271.94492258448105
238,261.8551235251017
239,316.88633897802583
240,283.5333543486778
241,289.46921089514706
242,267.21603742111097
243,273.5313625132595
244,286.8123411699796
245,284.53406464002694
246,257.80850940381174
247,269.66875849375447
248,270.3939224258012
249,305.0424334857413
250,256.7905697258211
251,330.2504809778702
252,296.65123943049787
253,312.60091086831017
254,278.57918407967975
255,295.1110052233147
256,295.4011225561205
257,274.20040348370196
258,301.9814260369926
259,288.9120049603865
260,294.0619505981795
261,275.3415296924543
262,283.96363554666794
263,285.7170268861968
264,260.19379395996583
265,311.82480663799174
266,339.45564701892005
267,342.0660505645765
268,308.2390772365513
269,315.90599184286316
270,290.30053131841953
271,302.8556308261422
272,320.6183665151123
273,310.6913326161306
274,277.43073161581594
275,338.04287062680726
276,296.2079294496695
277,324.91004637232726
278,309.00846845877675
279,292.81319275749155
280,341.92822832962634
281,341.91896191036085
282,338.17082540065246
283,363.9650749323911
284,330.41964347989614
285,292.8065442895248
286,341.5390296547548
287,356.85439775170653
288,341.91012524461325
289,287.5137953566532
290,346.30183839634765
291,304.8342722186028
292,339.029417239988
293,349.56883885330694
294,354.8330083812042
295,323.91107185374204
296,325.9990214509287
297,329.91502525670865
298,339.59955260663713
299,341.8755798566636
300,342.1981317020042
301,361.5184770453815
302,335.90762838087744
303,348.906848356669
304,324.45623761706315
305,320.6997472088317
306,360.6368084297764
307,327.0022772116329
308,341.67892301177426
309,331.6562709445136
310,351.4753064257715
311,377.0855703844222
312,347.40733380689665
313,365.0163437230756
314,342.78778343951785
315,339.03250540352633
316,370.3760518649789
317,379.0339156969219
318,371.14311471704343
319,352.4708578807746
320,362.1826708279369
321,321.52118997102605
322,361.02722004154964
323,363.4765395682873
324,383.19962338520577
325,343.96557172367164
326,379.44557330430894
327,368.4742068959421
328,370.0520898785412
329,401.6496078581843
330,351.74916837897104
331,340.6476258611269
332,380.3519542698725
333,389.15919171649523
334,359.03404016683885
335,371.58398300755925
336,390.1567680642178
337,425.1789957397642
338,357.38683052826605
339,384.2840452597252
340,367.7895035339377
341,358.476184348847
342,435.02803422279044
343,356.1282405076865
344,446.49359175731377
345,380.1943527830705
346,377.10588262139345
347,364.6572513726727
348,416.1523915492704
349,382.6690785749438
350,390.7705920925127
351,397.33177507515364
352,395.04799219864185
353,378.9055317505622
354,405.3722758217323
355,390.6848191596806
356,367.1495527890573
357,411.8673247022599
358,405.6992997843331
359,409.08410803964375
360,423.21218115709087
361,405.2610504336831
362,371.6439130683631
363,391.097849804835
364,388.3776793047356
365,391.06526225601186
366,431.0361302609622
367,383.6959246292969
368,431.44223679026777
369,427.95011065831045
370,441.6538947055668
371,407.63453765313307
372,389.696583688011
373,401.50436459135426
374,419.86519443908105
375,434.1767824203025
376,433.56300525488825
377,448.35779905871595
378,375.5474640408777
379,449.6160914872241
380,394.26778617768275
381,418.1322319517319
382,429.9451644503099
383,432.62615317735515
384,453.71819680492825
385,441.5018374430583
386,454.9884739465417
387,443.17448955470434
388,446.3288381910707
389,425.8803929546075
390,397.8535353382124
391,393.7919585138428
392,423.2675876603186
393,448.83416610043093
394,433.0121549899825
395,443.5018717398151
396,439.28531712213453
397,419.28592594905706
398,452.98832137160485
399,451.43147362323225
400,485.2794447606328
401,472.5906583808182
402,441.1958134497434
403,470.9614914161424
404,425.10642222135846
405,443.30148835929526
406,411.08249493762986
407,483.6293471796152
408,405.56502340967256
409,464.1763356980132
410,482.4874276688296
411,454.58410701365005
412,446.4954045044115
413,481.800833130402
414,490.05426795086
415,473.97741619907276
416,478.67979350155247
417,475.0030794605252
418,449.6577825874598
419,468.76289727017536
420,465.1957281114556
421,459.99774673892273
422,483.77049914571546
423,465.6406646677902
