n_inj,median_ns
728,800.8110982097951
729,797.2475951353929
730,807.657809048515
731,813.2924182499053
732,812.7294776086968
733,813.5457777220583
734,834.9496489504259
735,811.0908250611803
736,811.7461036913265
737,814.1646179638842
738,818.7961970762055
739,812.0844982074672
740,807.8413584269335
741,837.7711046387894
742,819.9645964712417
743,814.8147613922572
744,816.0212895487418
745,826.2594724145451
746,825.4160672214653
747,816.8638997455379
748,831.3303382555524
749,809.5820929349704
750,813.3375094732386
751,855.6828126009787
752,835.5757692088598
753,828.233922720745
754,843.5642211860131
755,820.7986444850505
756,835.7651801985678
757,843.1310804184715
758,830.6315123352254
759,841.6405773574658
760,826.0990511029261
761,848.7675799166715
762,840.3506154107699
763,821.2182657590129
764,825.93980887883
765,837.335092565688
766,850.2703102784706
767,823.9730816499316
768,834.2906562329279
769,853.0561895448209
770,843.975361865408
771,840.3542769826836
772,852.3694524223702
773,862.4458389845905
774,841.9965033126979
775,847.6814793894781
776,847.0290360440365
777,861.3753837651745
778,863.4238763985145
779,847.4480390006754
780,868.1537680223129
781,841.9309377701655
782,852.3382358445363
783,870.6861302049967
784,855.5035321165412
785,851.8196123483051
786,865.6668665997806
787,868.5174106006709
788,875.7483868248761
789,864.3009229872753
790,876.9691215661057
791,880.4796610560452
792,872.7410058710614
793,883.9510998151627
794,887.6788238402564
795,882.4011039882059
796,878.6926889107556
797,863.6516294866551
798,883.3679057272495
799,876.9866199953594
